<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
IslamicTreasury-B,20160910, 981503.00, 982500.00, 981502.00, 981689.00,29540019512.00, 30091,55,D,980643.00,981610.00
IslamicTreasury-B,20160907, 980504.00, 981800.00, 979500.00, 980643.00,27934591430.00, 28486,45,D,980020.00,980530.00
IslamicTreasury-B,20160906, 980000.00, 981200.00, 980000.00, 980020.00,13976065851.00, 14261,29,D,979719.00,981200.00
IslamicTreasury-B,20160905, 980900.00, 980970.00, 979503.00, 979719.00,61023746133.00, 62287,36,D,979877.00,979700.00
IslamicTreasury-B,20160904, 980000.00, 981000.00, 979200.00, 979877.00,48103152670.00, 49091,60,D,978079.00,981000.00
IslamicTreasury-B,20160903, 978000.00, 978541.00, 977500.00, 978079.00,21488396004.00, 21970,42,D,976824.00,978007.00
IslamicTreasury-B,20160831, 977000.00, 977200.00, 976500.00, 976824.00,8704480638.00, 8911,36,D,976620.00,977200.00
IslamicTreasury-B,20160830, 976998.00, 976999.00, 976000.00, 976620.00,43334583357.00, 44372,28,D,975327.00,976900.00
IslamicTreasury-B,20160829, 976000.00, 976000.00, 975000.00, 975327.00,8146905460.00, 8353,51,D,975493.00,975210.00
IslamicTreasury-B,20160828, 975001.00, 975502.00, 975001.00, 975493.00,774541679.00, 794,13,D,974172.00,975502.00
IslamicTreasury-B,20160827, 974001.00, 975000.00, 974000.00, 974172.00,49724643690.00, 51043,42,D,972524.00,974800.00
IslamicTreasury-B,20160824, 972500.00, 973998.00, 972500.00, 972524.00,38975830124.00, 40077,29,D,971970.00,972602.00
IslamicTreasury-B,20160823, 972800.00, 972900.00, 971701.00, 971970.00,111247756600.00, 114456,57,D,972170.00,971703.00
IslamicTreasury-B,20160822, 971001.00, 972800.00, 971001.00, 972170.00,63170606322.00, 64979,19,D,971339.00,971701.00
IslamicTreasury-B,20160821, 971000.00, 971750.00, 970520.00, 971339.00,24196062025.00, 24910,33,D,970551.00,970561.00
IslamicTreasury-B,20160820, 970046.00, 971000.00, 970046.00, 970551.00,17862017564.00, 18404,38,D,970213.00,970776.00
IslamicTreasury-B,20160817, 970000.00, 972000.00, 969101.00, 970213.00,19194695778.00, 19784,25,D,969924.00,972000.00
IslamicTreasury-B,20160816, 968900.00, 970498.00, 968900.00, 969924.00,45016104430.00, 46412,29,D,969472.00,969007.00
IslamicTreasury-B,20160815, 969998.00, 970000.00, 967579.00, 969472.00,12444143975.00, 12836,31,D,967942.00,968470.00
IslamicTreasury-B,20160814, 967001.00, 968099.00, 967001.00, 967942.00,33447234014.00, 34555,40,D,967209.00,967860.00
IslamicTreasury-B,20160813, 966501.00, 967400.00, 966000.00, 967209.00,74858094998.00, 77396,52,D,966026.00,967106.00
IslamicTreasury-B,20160810, 965050.00, 966990.00, 965050.00, 966026.00,79371602895.00, 82163,33,D,965050.00,966200.00
IslamicTreasury-B,20160809, 964468.00, 965690.00, 964468.00, 965050.00,8187487633.00, 8484,18,D,964468.00,965599.00
IslamicTreasury-B,20160808, 963502.00, 965790.00, 963502.00, 964468.00,39820973771.00, 41288,49,D,963518.00,965041.00
IslamicTreasury-B,20160807, 963999.00, 964000.00, 963000.00, 963518.00,32190186558.00, 33409,46,D,963498.00,963524.00
IslamicTreasury-B,20160806, 962001.00, 964500.00, 962001.00, 963498.00,69173372631.00, 71794,55,D,961777.00,963501.00
IslamicTreasury-B,20160803, 961848.00, 962200.00, 960000.00, 961777.00,44923631047.00, 46709,46,D,960768.00,962150.00
IslamicTreasury-B,20160802, 960002.00, 961490.00, 960002.00, 960768.00,32042576527.00, 33351,62,D,959958.00,960861.00
IslamicTreasury-B,20160801, 960000.00, 960500.00, 959826.00, 959958.00,58355826263.00, 60790,54,D,959928.00,960000.00
IslamicTreasury-B,20160731, 959016.00, 960500.00, 959016.00, 959928.00,69893316194.00, 72811,51,D,958833.00,959806.00
IslamicTreasury-B,20160727, 957005.00, 961000.00, 957004.00, 958833.00,96448986507.00, 100590,55,D,956929.00,959266.00
IslamicTreasury-B,20160726, 956016.00, 957950.00, 956015.00, 956929.00,66000377294.00, 68971,38,D,957016.00,957950.00
IslamicTreasury-B,20160725, 956100.00, 958998.00, 956000.00, 957016.00,70995252468.00, 74184,47,D,956271.00,957000.00
IslamicTreasury-B,20160724, 957400.00, 957400.00, 956000.00, 956271.00,33305946494.00, 34829,50,D,955431.00,956001.00
IslamicTreasury-B,20160723, 954900.00, 957000.00, 954000.00, 955431.00,33219370214.00, 34769,39,D,955458.00,954000.00
IslamicTreasury-B,20160720, 955000.00, 957000.00, 955000.00, 955458.00,50536102359.00, 52892,43,D,954272.00,957000.00
IslamicTreasury-B,20160719, 953900.00, 955000.00, 953900.00, 954272.00,30482322979.00, 31943,45,D,954030.00,954001.00
IslamicTreasury-B,20160718, 952100.00, 954490.00, 952003.00, 954030.00,26746222919.00, 28035,35,D,952470.00,954001.00
IslamicTreasury-B,20160717, 951603.00, 953900.00, 951603.00, 952470.00,17891202465.00, 18784,48,D,951800.00,952630.00
IslamicTreasury-B,20160716, 950027.00, 952850.00, 950027.00, 951800.00,20144848470.00, 21165,32,D,951592.00,951506.00
IslamicTreasury-B,20160713, 950008.00, 952500.00, 950008.00, 951592.00,14669736426.00, 15416,14,D,950350.00,951013.00
IslamicTreasury-B,20160712, 950999.00, 951996.00, 950005.00, 950350.00,17059740267.00, 17951,45,D,949941.00,951996.00
IslamicTreasury-B,20160711, 949001.00, 950400.00, 949000.00, 949941.00,9297072033.00, 9787,21,D,949680.00,950003.00
IslamicTreasury-B,20160710, 949393.00, 950500.00, 948101.00, 949680.00,43377593445.00, 45676,26,D,949393.00,950000.00
IslamicTreasury-B,20160709, 948050.00, 950397.00, 948050.00, 949393.00,58512962425.00, 61632,33,D,948049.00,949000.00
IslamicTreasury-B,20160705, 945000.00, 949000.00, 945000.00, 948049.00,99944232204.00, 105421,55,D,945020.00,949000.00
IslamicTreasury-B,20160704, 943001.00, 946750.00, 942504.00, 945020.00,111325232950.00, 117802,67,D,942865.00,946006.00
IslamicTreasury-B,20160703, 943000.00, 943999.00, 942000.00, 942865.00,62858911799.00, 66668,72,D,942711.00,942560.00
IslamicTreasury-B,20160702, 942001.00, 944000.00, 942001.00, 942711.00,142778341380.00, 151455,91,D,941485.00,942601.00
IslamicTreasury-B,20160629, 940999.00, 942800.00, 940999.00, 941485.00,96324239192.00, 102311,69,D,940743.00,941009.00
IslamicTreasury-B,20160628, 940001.00, 942000.00, 939990.00, 940743.00,98587090062.00, 104797,72,D,940469.00,940000.00
IslamicTreasury-B,20160626, 938998.00, 943000.00, 938601.00, 940469.00,115051354998.00, 122334,70,D,938414.00,941000.00
IslamicTreasury-B,20160625, 938501.00, 940999.00, 936002.00, 938414.00,154402021892.00, 164535,94,D,938316.00,940997.00
IslamicTreasury-B,20160622, 938000.00, 939000.00, 937151.00, 938316.00,17705082010.00, 18869,53,D,937324.00,938201.00
IslamicTreasury-B,20160621, 936805.00, 939000.00, 936702.00, 937324.00,46911208307.00, 50048,69,D,936418.00,936702.00
